"departamento","provincia","total"
"Capital","Cordoba","1623"
"Rio Cuarto","Córdoba","491"
"San Justo","Cordoba","487"
"Colon","Cordoba","322"
"Punilla","Cordoba","277"
"Cruz Del Eje","Cordoba","229"
"Union","Cordoba","220"
"Tercero Arriba","Córdoba","197"
"Santa Maria","Cordoba","195"
"Pte. Roque Saenz Peña","Cordoba","188"
"Rio Segundo","Cordoba","170"
"General San Martin","Cordoba","158"
"Marcos Juárez","Córdoba","156"
"Ischilin","Cordoba","150"
"San Javier","Córdoba","136"
"San Alberto","Cordoba","108"
"Calamuchita","Cordoba","102"
"Rio Primero","Córdoba","95"
"Juarez Celman","Cordoba","81"
"General Roca","Cordoba","65"
"Totoral","Cordoba","38"
"Tulumba","Córdoba","33"
"Río Seco","Córdoba","31"
"Pocho","Cordoba","23"
"Minas","Cordoba","19"
"Presidente Roque Sáenz Peña","Córdoba","14"
"Sobremonte","Cordoba","14"
"Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires","8"
"Castellanos","Santa Fe","6"
"Capital","Santiago del Estero","4"
"Ojo De Agua","Santiago Del Estero","4"
"Confluencia","Neuquén","3"
"San Martin","Santa Fe","2"
"Capital","Jujuy","2"
"San Cristobal","Santa Fe","2"
"Escalante","Chubut","2"
"Bariloche","Rio Negro","2"
"Rosario","Santa Fe","2"
NULL,NULL,"2"
"San Rafael","Mendoza","1"
"General Sarmiento","Buenos Aires","1"
"Caseros","Santa Fe","1"
"General San Martin","La Rioja","1"
"Capital","Tucumán","1"
"San Justo","Santa Fe","1"
"Capital","Salta","1"
"General Pueyrredon","Buenos Aires","1"
"Capital","Mendoza","1"
"San Javier","Santa Fe","1"
"General Pedernera","San Luis","1"
"Moron","Buenos Aires","1"
"General Lopez","Santa Fe","1"
"San Fernando","Chaco","1"
"General Guemes","Salta","1"
"Merlo","Buenos Aires","1"
"Mercedes","Buenos Aires","1"
"Eldorado","Misiones","1"
"Vicente Lopez","Buenos Aires","1"
"Almirante Brown","Buenos Aires","1"
"Lomas De Zamora","Buenos Aires","1"
"La Paz","Catamarca","1"
"La Capital","Santa Fe","1"
"La Capital","San Luis","1"
"Quilmes","Buenos Aires","1"
"Chicligasta","Tucumán","1"
"Quebrachos","Santiago del Estero","1"
